,date,place,race_num,race_rank,position,goal,id,name,tenji,shinnyu,start,time,weather,wind_dir,wind_st,wave,kimarite,age,belongs,weight,player_rank,country_win,country_sub,local_win,local_sub,motor,boat
60,180101,常滑,11,予選,1,1,3554,仲口博崇,6.66,1,0.14,1.49.1,晴,北西,4,3,逃げ,45,愛知,50,A1,6.02,43.44,6.83,48.6,50.0,31.03
61,180101,常滑,11,予選,2,5,3542,清水紀克,6.69,2,0.15,.,晴,北西,4,3,逃げ,49,愛知,55,B1,4.8,32.18,4.72,33.33,47.37,34.82
62,180101,常滑,11,予選,3,3,4142,平野和明,6.67,3,0.11,1.52.1,晴,北西,4,3,逃げ,36,愛知,52,A2,5.76,37.76,6.34,45.57,38.46,39.66
63,180101,常滑,11,予選,4,2,4308,河村了,6.6,4,0.12,1.50.1,晴,北西,4,3,逃げ,34,愛知,51,A1,6.58,46.67,6.36,38.78,40.0,43.22
64,180101,常滑,11,予選,5,4,3811,石田章央,6.68,5,0.17,1.53.3,晴,北西,4,3,逃げ,42,静岡,54,A1,6.33,48.41,5.17,33.33,46.15,43.09
65,180101,常滑,11,予選,6,6,4731,間野兼礼,6.73,6,0.2,.,晴,北西,4,3,逃げ,28,愛知,51,B1,3.76,16.33,5.28,33.58,8.33,41.38
66,180101,常滑,12,予選初夢賞,1,1,4337,平本真之,6.67,1,0.09,1.48.9,晴,北西,3,3,逃げ,33,愛知,54,A1,7.47,58.62,7.19,57.8,27.27,33.33
67,180101,常滑,12,予選初夢賞,2,2,3022,西山昇一,6.68,2,0,1.49.6,晴,北西,3,3,逃げ,57,愛知,52,A1,7.23,57.34,7.2,55.86,42.86,30.84
68,180101,常滑,12,予選初夢賞,3,6,4080,山崎哲司,6.75,3,0.06,.,晴,北西,3,3,逃げ,38,愛知,53,A2,6.17,44.87,6.15,46.34,15.38,33.05
69,180101,常滑,12,予選初夢賞,4,3,4276,鈴木勝博,6.71,4,0.21,1.51.4,晴,北西,3,3,逃げ,34,愛知,50,A1,6.76,55.83,7.33,57.53,50.0,35.09
70,180101,常滑,12,予選初夢賞,5,5,4033,伊藤将吉,6.73,5,0.16,.,晴,北西,3,3,逃げ,39,静岡,52,A1,6.97,54.48,6.26,52.17,42.86,33.88
71,180101,常滑,12,予選初夢賞,6,4,4446,和田兼輔,6.73,6,0.17,1.53.0,晴,北西,3,3,逃げ,31,兵庫,51,A2,6.52,44.54,6.92,46.15,60.0,33.33
72,180102,常滑,1,予選,1,3,4785,木幡純也,6.7,1,0.37,1.54.8,晴,北西,5,5,まくり,30,愛知,51,B1,4.51,21.59,4.53,28.04,11.11,32.48
73,180102,常滑,1,予選,2,2,4728,山口亮,6.71,2,0.31,1.52.9,晴,北西,5,5,まくり,30,東京,54,B1,3.94,13.92,4.06,16.13,50.0,31.19
74,180102,常滑,1,予選,3,6,4915,彦坂径冶,6.76,3,0.61,.,晴,北西,5,5,まくり,21,愛知,55,B2,1.34,0.0,1.58,5.56,35.71,37.5
75,180102,常滑,1,予選,4,5,4860,伏見卓,6.74,4,0.38,.,晴,北西,5,5,まくり,29,愛知,53,B1,4.63,26.51,3.04,8.93,18.75,35.24
76,180102,常滑,1,予選,5,4,3967,鈴木茂高,6.81,5,0.31,1.55.9,晴,北西,5,5,まくり,38,愛知,57,A2,5.62,37.61,6.0,39.13,28.57,40.0
77,180102,常滑,1,予選,6,1,4565,西村豪洋,6.66,6,0.23,1.51.0,晴,北西,5,5,まくり,30,愛知,52,B1,4.93,27.1,4.61,22.95,71.43,29.46
78,180102,常滑,2,予選,1,2,4752,西尾亮輔,6.68,1,0.07,1.51.8,曇り,北西,5,5,差し,29,愛知,50,B1,4.29,23.16,4.12,16.28,40.0,37.07
79,180102,常滑,2,予選,2,1,3690,河合三弘,6.69,2,0.12,1.50.1,曇り,北西,5,5,差し,47,愛知,52,A2,5.46,35.51,5.82,39.77,22.73,27.68
80,180102,常滑,2,予選,3,5,3498,白石浩二,6.68,3,0.14,.,曇り,北西,5,5,差し,49,兵庫,50,B1,3.31,12.16,3.11,5.26,38.46,39.32
81,180102,常滑,2,予選,4,3,3535,渡修平,6.77,4,0.14,1.52.5,曇り,北西,5,5,差し,45,兵庫,51,B1,4.36,22.55,5.27,39.02,37.5,31.53
82,180102,常滑,2,予選,5,4,3608,森仁志,6.73,5,0.12,1.54.1,曇り,北西,5,5,差し,45,愛知,49,B1,3.76,16.0,4.38,23.4,35.71,35.4
83,180102,常滑,2,予選,6,6,3867,松浦勝,6.71,6,0.11,.,曇り,北西,5,5,差し,42,愛知,55,B1,4.69,25.26,4.88,21.74,35.71,41.03
84,180102,常滑,3,予選,1,1,4435,服部達哉,6.71,1,0.17,1.48.2,曇り,北西,5,4,抜き,31,愛知,54,B1,5.77,33.7,5.8,34.55,52.38,42.61
85,180102,常滑,3,予選,2,5,4197,渥美卓郎,6.73,2,0.29,.,曇り,北西,5,4,抜き,35,静岡,55,B1,3.46,10.81,4.58,26.32,33.33,27.83
86,180102,常滑,3,予選,3,2,4468,大池佑来,6.7,3,0.15,1.49.7,曇り,北西,5,4,抜き,31,東京,51,A1,6.09,35.35,6.62,46.67,31.58,48.21
87,180102,常滑,3,予選,4,3,4630,岩永雅人,6.69,4,0.14,1.51.4,曇り,北西,5,4,抜き,30,愛知,51,B1,4.99,28.45,4.64,20.0,28.57,33.88
88,180102,常滑,3,予選,5,6,4983,前田篤哉,6.76,6,0.12,.,曇り,北西,5,4,抜き,21,愛知,50,B2,3.18,10.0,2.22,5.56,30.0,34.82
89,180102,常滑,3,予選,6,4,3941,池田浩二,6.74,5,0.1,1.52.3,曇り,北西,5,4,抜き,39,愛知,53,A1,7.66,56.25,8.4,74.0,14.29,36.28
90,180102,常滑,4,予選,1,2,4875,大塚康雅,6.67,1,0.09,2.00.6,曇り,北西,5,4,差し,23,東京,50,B1,3.84,20.55,2.28,4.0,35.71,35.34
91,180102,常滑,4,予選,2,1,4586,磯部誠,6.61,2,0.08,1.59.4,曇り,北西,5,4,差し,27,愛知,53,A1,6.99,52.82,6.54,47.37,46.15,35.96
92,180102,常滑,4,予選,3,S,4903,吉田凌太朗,6.7,3,0.11,.,曇り,北西,5,4,差し,24,愛知,52,B1,5.16,33.33,4.42,28.41,30.77,35.71
93,180102,常滑,4,予選,4,4,4731,間野兼礼,6.67,4,0.18,2.07.7,曇り,北西,5,4,差し,28,愛知,51,B1,3.76,16.33,5.28,33.58,8.33,41.38
94,180102,常滑,4,予選,5,3,3895,堀本裕也,6.71,6,0.21,2.04.6,曇り,北西,5,4,差し,41,愛知,49,A2,5.36,30.34,5.28,30.23,21.43,37.74
95,180102,常滑,4,予選,6,S2,3022,西山昇一,6.67,5,0.19,.,曇り,北西,5,4,差し,57,愛知,52,A1,7.23,57.34,7.2,55.86,42.86,30.84
96,180102,常滑,5,予選,1,1,4446,和田兼輔,6.72,1,0.11,1.51.2,曇り,北西,6,6,逃げ,31,兵庫,51,A2,6.52,44.54,6.92,46.15,60.0,33.33
97,180102,常滑,5,予選,2,3,4565,西村豪洋,6.64,2,0.18,1.52.5,曇り,北西,6,6,逃げ,30,愛知,52,B1,4.93,27.1,4.61,22.95,71.43,29.46
98,180102,常滑,5,予選,3,4,4142,平野和明,6.62,3,0.22,1.54.2,曇り,北西,6,6,逃げ,36,愛知,52,A2,5.76,37.76,6.34,45.57,38.46,39.66
99,180102,常滑,5,予選,4,2,4308,河村了,6.61,4,0.19,1.52.3,曇り,北西,6,6,逃げ,34,愛知,51,A1,6.58,46.67,6.36,38.78,40.0,43.22
100,180102,常滑,5,予選,5,6,4527,高野心吾,6.68,5,0.22,.,曇り,北西,6,6,逃げ,29,愛知,51,B1,4.68,26.92,4.57,21.74,50.0,24.11
101,180102,常滑,5,予選,6,5,3831,安藤裕貴,6.71,6,0.17,.,曇り,北西,6,6,逃げ,43,愛知,53,B1,5.13,31.18,5.36,40.68,28.57,35.14
102,180102,常滑,6,予選,1,6,3535,渡修平,6.78,1,0.36,.,晴,北西,5,5,まくり差し,45,兵庫,51,B1,4.36,22.55,5.27,39.02,37.5,31.53
103,180102,常滑,6,予選,2,2,4021,吉田健太郎,6.75,3,0.1,1.51.1,晴,北西,5,5,まくり差し,37,愛知,52,A2,4.88,30.21,5.27,40.0,33.33,41.74
104,180102,常滑,6,予選,3,1,4276,鈴木勝博,6.64,4,0.05,1.50.0,晴,北西,5,5,まくり差し,34,愛知,50,A1,6.76,55.83,7.33,57.53,50.0,35.09
105,180102,常滑,6,予選,4,3,3236,田上晋六,6.72,5,0.07,1.52.8,晴,北西,5,5,まくり差し,55,東京,51,B1,4.94,30.68,5.71,38.71,16.67,36.19
106,180102,常滑,6,予選,5,4,3934,鋤柄貴俊,6.74,6,0.21,1.53.7,晴,北西,5,5,まくり差し,40,愛知,52,A2,5.68,41.18,5.68,35.21,30.77,48.25
107,180102,常滑,6,予選,6,5,3542,清水紀克,6.75,2,0.2,.,晴,北西,5,5,まくり差し,49,愛知,55,B1,4.8,32.18,4.72,33.33,47.37,34.82
108,180102,常滑,7,予選,1,3,3690,河合三弘,6.69,1,0.06,1.52.9,晴,北西,6,5,まくり差し,47,愛知,52,A2,5.46,35.51,5.82,39.77,22.73,27.68
109,180102,常滑,7,予選,2,5,4062,後藤陽介,6.81,2,0.1,.,晴,北西,6,5,まくり差し,38,愛知,54,B1,5.25,34.23,4.71,33.33,33.33,34.51
110,180102,常滑,7,予選,3,6,4860,伏見卓,6.74,3,0.2,.,晴,北西,6,5,まくり差し,29,愛知,53,B1,4.63,26.51,3.04,8.93,18.75,35.24
111,180102,常滑,7,予選,4,4,4983,前田篤哉,6.68,6,0.13,1.53.7,晴,北西,6,5,まくり差し,21,愛知,50,B2,3.18,10.0,2.22,5.56,30.0,34.82
112,180102,常滑,7,予選,5,1,4080,山崎哲司,6.7,4,0.05,1.49.8,晴,北西,6,5,まくり差し,38,愛知,53,A2,6.17,44.87,6.15,46.34,15.38,33.05
113,180102,常滑,7,予選,6,2,4337,平本真之,6.68,5,0.1,1.50.8,晴,北西,6,5,まくり差し,33,愛知,54,A1,7.47,58.62,7.19,57.8,27.27,33.33
114,180102,常滑,8,予選,1,5,4663,籾山佳岳,6.73,1,0.28,.,晴,北西,5,5,まくり,35,愛知,51,B2,3.06,5.88,4.13,15.38,35.71,34.51
115,180102,常滑,8,予選,2,6,4785,木幡純也,6.74,5,0.16,.,晴,北西,5,5,まくり,30,愛知,51,B1,4.51,21.59,4.53,28.04,11.11,32.48
116,180102,常滑,8,予選,3,1,3554,仲口博崇,6.66,2,0.21,1.50.4,晴,北西,5,5,まくり,45,愛知,50,A1,6.02,43.44,6.83,48.6,50.0,31.03
117,180102,常滑,8,予選,4,3,4197,渥美卓郎,6.74,4,0.21,1.53.5,晴,北西,5,5,まくり,35,静岡,55,B1,3.46,10.81,4.58,26.32,33.33,27.83
118,180102,常滑,8,予選,5,4,4903,吉田凌太朗,6.81,6,0.14,1.54.6,晴,北西,5,5,まくり,24,愛知,52,B1,5.16,33.33,4.42,28.41,30.77,35.71
119,180102,常滑,8,予選,6,2,4161,黒柳浩孝,6.66,3,0.21,1.52.1,晴,北西,5,5,まくり,36,愛知,54,B1,5.44,30.56,4.41,22.22,35.71,33.33
120,180102,常滑,9,予選,1,2,4086,寺本重宣,6.66,1,0.19,1.50.4,晴,北西,5,5,まくり差し,37,東京,49,A1,6.56,51.2,6.82,60.61,58.33,44.25
121,180102,常滑,9,予選,2,4,4527,高野心吾,6.71,2,0.2,1.52.4,晴,北西,5,5,まくり差し,29,愛知,51,B1,4.68,26.92,4.57,21.74,50.0,24.11
122,180102,常滑,9,予選,3,5,3867,松浦勝,6.72,3,0.21,.,晴,北西,5,5,まくり差し,42,愛知,55,B1,4.69,25.26,4.88,21.74,35.71,41.03
123,180102,常滑,9,予選,4,1,4586,磯部誠,6.72,4,0.2,1.49.2,晴,北西,5,5,まくり差し,27,愛知,53,A1,6.99,52.82,6.54,47.37,46.15,35.96
124,180102,常滑,9,予選,5,6,4728,山口亮,6.67,5,0.37,.,晴,北西,5,5,まくり差し,30,東京,54,B1,3.94,13.92,4.06,16.13,50.0,31.19
125,180102,常滑,9,予選,6,3,3811,石田章央,6.69,6,0.28,1.52.0,晴,北西,5,5,まくり差し,42,静岡,54,A1,6.33,48.41,5.17,33.33,46.15,43.09
126,180102,常滑,10,予選,1,1,4308,河村了,6.61,1,0.05,1.48.9,晴,北西,5,5,逃げ,34,愛知,51,A1,6.58,46.67,6.36,38.78,40.0,43.22
127,180102,常滑,10,予選,2,5,4435,服部達哉,6.66,2,0.14,.,晴,北西,5,5,逃げ,31,愛知,54,B1,5.77,33.7,5.8,34.55,52.38,42.61
128,180102,常滑,10,予選,3,2,3022,西山昇一,6.67,3,0.1,1.50.5,晴,北西,5,5,逃げ,57,愛知,52,A1,7.23,57.34,7.2,55.86,42.86,30.84
129,180102,常滑,10,予選,4,6,4752,西尾亮輔,6.75,4,0.06,.,晴,北西,5,5,逃げ,29,愛知,50,B1,4.29,23.16,4.12,16.28,40.0,37.07
130,180102,常滑,10,予選,5,4,3236,田上晋六,6.7,5,0.07,1.53.4,晴,北西,5,5,逃げ,55,東京,51,B1,4.94,30.68,5.71,38.71,16.67,36.19
131,180102,常滑,10,予選,6,3,4033,伊藤将吉,6.72,6,0.08,1.52.5,晴,北西,5,5,逃げ,39,静岡,52,A1,6.97,54.48,6.26,52.17,42.86,33.88
132,180102,常滑,11,予選,1,1,4276,鈴木勝博,6.65,1,0.15,1.49.1,晴,北西,4,4,逃げ,34,愛知,50,A1,6.76,55.83,7.33,57.53,50.0,35.09
133,180102,常滑,11,予選,2,5,4446,和田兼輔,6.73,2,0.14,.,晴,北西,4,4,逃げ,31,兵庫,51,A2,6.52,44.54,6.92,46.15,60.0,33.33
134,180102,常滑,11,予選,3,2,3941,池田浩二,6.75,3,0.17,1.50.7,晴,北西,4,4,逃げ,39,愛知,53,A1,7.66,56.25,8.4,74.0,14.29,36.28
135,180102,常滑,11,予選,4,3,3967,鈴木茂高,6.8,4,0.23,1.51.7,晴,北西,4,4,逃げ,38,愛知,57,A2,5.62,37.61,6.0,39.13,28.57,40.0
136,180102,常滑,11,予選,5,4,4875,大塚康雅,6.7,6,0.3,1.52.7,晴,北西,4,4,逃げ,23,東京,50,B1,3.84,20.55,2.28,4.0,35.71,35.34
137,180102,常滑,11,予選,6,6,4062,後藤陽介,6.75,5,0.31,.,晴,北西,4,4,逃げ,38,愛知,54,B1,5.25,34.23,4.71,33.33,33.33,34.51
138,180102,常滑,12,予選トコタン,1,1,3554,仲口博崇,6.63,1,0.14,1.49.1,晴,北西,4,4,逃げ,45,愛知,50,A1,6.02,43.44,6.83,48.6,50.0,31.03
139,180102,常滑,12,予選トコタン,2,2,3895,堀本裕也,6.69,2,0.13,1.50.7,晴,北西,4,4,逃げ,41,愛知,49,A2,5.36,30.34,5.28,30.23,21.43,37.74
140,180102,常滑,12,予選トコタン,3,3,4337,平本真之,6.67,3,0.12,1.51.1,晴,北西,4,4,逃げ,33,愛知,54,A1,7.47,58.62,7.19,57.8,27.27,33.33
141,180102,常滑,12,予選トコタン,4,6,3934,鋤柄貴俊,6.69,4,0.15,.,晴,北西,4,4,逃げ,40,愛知,52,A2,5.68,41.18,5.68,35.21,30.77,48.25
142,180102,常滑,12,予選トコタン,5,5,4142,平野和明,6.66,5,0.15,.,晴,北西,4,4,逃げ,36,愛知,52,A2,5.76,37.76,6.34,45.57,38.46,39.66
143,180102,常滑,12,予選トコタン,6,4,4468,大池佑来,6.68,6,0.16,1.52.1,晴,北西,4,4,逃げ,31,東京,51,A1,6.09,35.35,6.62,46.67,31.58,48.21
144,180103,常滑,1,予選,1,3,3542,清水紀克,6.75,1,0.2,1.55.1,晴,西,6,6,まくり差し,49,愛知,55,B1,4.8,32.18,4.72,33.33,47.37,34.82
145,180103,常滑,1,予選,2,4,3498,白石浩二,6.79,2,0.27,1.57.8,晴,西,6,6,まくり差し,49,兵庫,50,B1,3.31,12.16,3.11,5.26,38.46,39.32
146,180103,常滑,1,予選,3,5,3535,渡修平,6.85,3,0.19,.,晴,西,6,6,まくり差し,45,兵庫,51,B1,4.36,22.55,5.27,39.02,37.5,31.53
